ObjectName,ID,Name,ClassName,CssSelector,CssSelector2,CssSelector3,LinkText,PartialLinkText,TagName,XPath,ithInMultiple,ContainsText,AttributeKey1,AttributeValue1,AttributeKey2,AttributeValue2,IsParent,Value,SQL,UserDefinedWaitTime,ThreadSleepWaitTime,ReferenceDataID,UnUseColumn1,UnUseColumn2,UnUseColumn3,Child_ID,Child_Name,Child_ClassName,Child_CssSelector,Child_CssSelector2,Child_CssSelector3,LinkText8,Child_PartialLinkText,Child_TagName,Child_Xpath,Child_ithInMultiple,Child_ContainsText,Child_AttributeKey1,Child_AttributeValue1,Child_AttributeKey2,Child_AttributeValue2,Child_Value,Child_SQL,Child_UserDefinedWaitTime,Child_ThreadSleepWaitTime,Child_ReferenceDataID,Child_UnUseColumn1,Child_UnUseColumn2,Child_UnUseColumn3
SearchItemFieldTxtBx,,SearchString,,,,,,,,,,,,,,,,4.38E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SearchBtn,,EndecaSearchButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AddToBagBtn,,ADD_CART_ITEM_ARRAY<>qtyToBuy,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CheckOutBtn,mobileCheckout,mobileCheckout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJ5,,,checkout-button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagCheckOutBtn,bag-header,,,,,,,,,,,,,,,,1,,,,,,,,,jsStartCheckout,,,,,,,,,,1,,,,,,,,,,,,,
bagLoginEmailTxt,loginEmail,LOGIN<>userid,,,,,,,,,,,,,,,, testc1@test.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagLoginPassTxt,loginPass,LOGIN<>password,,,,,,,,,,,,,,,,123456ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagSignInBtn,jsQuickCheckout,,button continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJ10,jsEnterQuickCheckout,,jsEnterQuickCheckout button checkout,,,,Checkout,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsPlaceOrderBtn,jsReviewSubmit,,button place-order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmOrder,confirmation-head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBJ13,,,order-status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhomePageBtn,,,font-icon-saks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mstoreBtn,,,stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgnEmailIdUnregistered,loginGuestEmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgnGuestCheckoutBtn,jsGuestCheckout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagZipCodeTxt,bagZip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditGiftCard,,,,span[class='saks-icon add'],,,,,,,1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEnterGiftCard,payGCNum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEnterGiftCardPin,payGCPIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsGiftCardApply,gcApply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagPaypalBtn,jsPayPalExpressCheckout,,jsPayPalExpress,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagLoginEmailPaypalTxt,login_email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagLoginPassPaypalTxt,login_password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagSignInPaypalBtn,submitLogin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paplContinueBtn,continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagRemoveItem,remove-pre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagRemoveItemConfirm,,,jsRemoveItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsUpdateShipping,jsUpdateShippingAddress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsUpdateBilling,jsUpdateBillingAddress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditCreditCard,,,,a[class='jsEditCreditCard module-head-link edit button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsUpdateCreditCard,jsSaveCreditCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagMakeGiftBtn,,,,div[class='item-gift item-trigger-layer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goLogoWrapBtn,,,,label[for='giftingType-B'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goReceipientName,,giftingName-new,,input[id='giftName-new'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goReceipientMessage,giftingMsg1,giftingMsg1,,input[id='giftingMsg1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goSubmitBtn,jsSubmitGifting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsAddGiftCard,,,,div[class='inline-submit button apply-code'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditShippingAddress,,,,a[class='jsChangeShipAddress module-head-link edit button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsEditBillingAddress,,,,a[class='jsEditBillAddress module-head-link edit button'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagUpdateQtyDrpdwn,ql-quantity,itemQuantity,,select[id='ql-quantity'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagUpdateQtyApplyBtn,jsUpdateItem,,button apply,a[id='jsUpdateItem'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagQtyTxt,,,,div[class='item jsItemRoot'],,,,,,,,upc passed in the method,,,,,1,,,,,,,,,,,,div[class='item-quantity'],,,,,,,,,,,,,,,,,,,,
bagSaksBagItemCheck,,,,div[id='saksBag'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspFullPage,,,,div[id='main-form-parent'],,,,,,,,,,,,,,No Gift Cards entered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prodArrayRefineMenu,,,,ul[id='refine-menu'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prodArraySortBy,,,,ul[id='sort-menu'],,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,a,,1,,,,,,,,,,,,,
bagFullPage,,,,div[id='saks-bag'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspCreditCardLayer,,,,div[id='credit-card-layer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspCreditCardSection,,,,div[id='credit-card'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspShippingAddSection,,,,div[id='module-shipping-address'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rspBillingAddSection,,,,div[id='billing-summary'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagShipDateValidation,,,,select[id='selectShipMethod'],,,,,,,,,,,,,1,,,,,,,,,,,,option[selected='selected'],,,,,,,,,,,,,,,,,,,,
confGiftWrap,,,,div[class='item jsItemRoot'],,,,,,,,sku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bagGiftWrapPrice,jsVal-giftWrapTotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
body,,,,,,,,,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homePgSaksBagCounter,,,,a[class='saks-bag'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HomePgBtn,,,font-icon-saks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpRefineDesignerApplyBtn,,,,a[class='apply'],,,,,,,1,Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saksBagAdditionalItemError_WS,,,,span[class='message'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bag from previous sessions,,,,,,,
bagCheckoutLoggedInBtn_WS,,,,a[id='jsEnterQuickCheckout'],,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prpShopAll_WS,,,,,,,,,a,,,Shop All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpFirstName_WS,,,,input[id='shipFirst'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpLastName_WS,,,,input[id='shipLast'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpAddress1_WS,,,,input[id='shipAddress1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpState_WS,,,,select[id='shipState'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpCity_WS,,,,input[id='shipCity'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpZip_WS,,,,input[id='shipZip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpPhone_WS,,,,input[id='shipPhone'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shipMakethisBilling_WS,,,,input[id='makeBilling'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpNextBtn_WS,,,,span[class='jsActionButton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpUseAddressOverlay_WS,,,,div[id='qas-layer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shpUseThisAddress_WS,,,,a[id='jsUseEntered'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCCType_WS,,,,select[id='payCC'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCCNumber_WS,,,,input[id='payCCNum'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCCName_WS,,,,input[id='payCCName'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCCMonth_WS,,,,select[id='ccMonth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
papCCYear_WS,,,,select[id='ccYear'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
