DataName,,,,,,,,,,,,,,
OMS_Scenario_List,1,2,3,4,5,6,7,8,9,10,11,12,13,14
OMS_Scenario1_Account_Login,saks-test@shoprunner.com,,,,,,,,,,,,,
OMS_Scenario1_Account_Password,test1234,,,,,,,,,,,,,
OMS_Scenario1_AccountShopRunner_Login,saks-test@shoprunner.com,,,,,,,,,,,,,
OMS_Scenario1_AccountShopRunner_Password,test1234,,,,,,,,,,,,,
OMS_Scenario1_Item_UPC,499932227409,,,,,,,,,,,,,
OMS_Scenario1_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario1_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario1_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario1_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario1_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario1_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario1_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario1_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario1_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario1_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario1_Tender_CardNumber,5444009999222200,,,,,,,,,,,,,
OMS_Scenario1_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario1_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario1_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario1_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario1_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario2_AccountShopRunner_Login,saks-test@shoprunner.com,,,,,,,,,,,,,
OMS_Scenario2_AccountShopRunner_Password,test1234,,,,,,,,,,,,,
OMS_Scenario2_Item_UPC,,,,,,,,,,,,,,
OMS_Scenario2_Item_Color,,,,,,,,,,,,,,
OMS_Scenario2_Item_Size,,,,,,,,,,,,,,
OMS_Scenario2_Item_Quantity,,,,,,,,,,,,,,
OMS_Scenario2_Address_Line1,,,,,,,,,,,,,,
OMS_Scenario2_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario2_Address_City,,,,,,,,,,,,,,
OMS_Scenario2_Address_State,,,,,,,,,,,,,,
OMS_Scenario2_Address_ZipCode,,,,,,,,,,,,,,
OMS_Scenario2_Tender_HolderName,,,,,,,,,,,,,,
OMS_Scenario2_Tender_Type,GIFTCARD,,,,,,,,,,,,,
OMS_Scenario2_Tender_CardNumber,6022990000000000,,,,,,,,,,,,,
OMS_Scenario2_Tender_Month,,,,,,,,,,,,,,
OMS_Scenario2_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario2_Tender_Year,,,,,,,,,,,,,,
OMS_Scenario2_Tender_SecurityCode,,,,,,,,,,,,,,
OMS_Scenario2_Tender_Pin,4630,,,,,,,,,,,,,
OMS_Scenario3_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario3_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario3_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario3_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario3_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario3_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario3_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario3_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario3_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario3_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario3_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario3_Tender_CardNumber,5.44401E+15,,,,,,,,,,,,,
OMS_Scenario3_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario3_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario3_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario3_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario3_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario4_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario4_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario4_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario4_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario4_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario4_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario4_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario4_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario4_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario4_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario4_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario4_Tender_CardNumber,5.44401E+15,,,,,,,,,,,,,
OMS_Scenario4_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario4_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario4_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario4_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario4_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario05_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario05_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario05_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario05_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario05_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario05_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario05_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario05_Address_State,New York,,,,,,,,,,,,,
OMS_Scenario05_Address_ZipCode,10017,,,,,,,,,,,,,
OMS_Scenario05_Tender_HolderName,Hello World,,,,,,,,,,,,,
OMS_Scenario05_Tender_Type,MS,,,,,,,,,,,,,
OMS_Scenario05_Tender_CardNumber,5.44401E+15,,,,,,,,,,,,,
OMS_Scenario05_Tender_Month,12,,,,,,,,,,,,,
OMS_Scenario05_Tender_Day,,,,,,,,,,,,,,
OMS_Scenario05_Tender_Year,2020,,,,,,,,,,,,,
OMS_Scenario05_Tender_SecurityCode,121,,,,,,,,,,,,,
OMS_Scenario05_Tender_Pin,,,,,,,,,,,,,,
OMS_Scenario06_Item_UPC,4.99932E+11,,,,,,,,,,,,,
OMS_Scenario06_Item_Color,0,,,,,,,,,,,,,
OMS_Scenario06_Item_Size,3,,,,,,,,,,,,,
OMS_Scenario06_Item_Quantity,1,,,,,,,,,,,,,
OMS_Scenario06_Address_Line1,13 W 49th Street,,,,,,,,,,,,,
OMS_Scenario06_Address_Line2,,,,,,,,,,,,,,
OMS_Scenario06_Address_City,New York,,,,,,,,,,,,,
OMS_Scenario06_Address_State,New York,,,,,,,,,,,,,
