ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen02,Full Checkout with regular item and validate the order number and validate “Thank you” Page,"{""skuListInfo"":{""skuList"":[""0500040931727"",""0500046236204""]},""loginInfo"":{""email"":""checkoutscen02@saks.com"",""password"":""test123""}}"
2,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen04,"Full Checkout with modifying regular items (2 items):  remove items, update quantity of an existing items, and validated the updated quantities got reflected in the “Thank You” page","{""skuListInfo"":{""skuList"":[""0500018645911"",""0500088570585"",""0500017144973"",""0500017134487""]},""loginInfo"":{""email"":""checkoutscen04@saks.com"",""password"":""test123""}}"
4,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen08,Full Checkout with Regular Items: Add Shipping Address and Remove address added from My Account,"{""skuListInfo"":{""skuList"":[""0500040931727"",""0500046236204""]},""loginInfo"":{""email"":""checkoutscen08@saks.com"",""password"":""test123""},""addressInfo"":{""address1"":[""70 Alvord Lane""],""city"":[""Stamford""],""state"":[""Connecticut""],""country"":[""United States""],""zipCode"":[""06902""]}}"
5,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen09,Full Checkout with Regular Items: Add Billing Address and Remove address added from My Account,"{""skuListInfo"":{""skuList"":[""0500018645911"",""0500088570585""]},""loginInfo"":{""email"":""checkoutscen09@saks.com"",""password"":""test123""},""addressInfo"":{""address1"":[""70 Alvord Lane""],""city"":[""Stamford""],""state"":[""Connecticut""],""country"":[""United States""],""zipCode"":[""06902""]}}"
6,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen12,Full checkout with regular item by changing the Shipping Method to Rush Shipping,"{""skuListInfo"":{""skuList"":[""0500048567242""]},""loginInfo"":{""email"":""checkoutscen12@saks.com"",""password"":""test123""}}"
7,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen15,Full checkout with Electronic Gift Card Item,"{""skuListInfo"":{""skuList"":[""0500043739697"",""0500087956496""]},""loginInfo"":{""email"":""checkoutscen15@saks.com"",""password"":""test123""}}"
8,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen17,Full Checkout with Required on Signature on Delivery with Two Regular Items,"{""skuListInfo"":{""skuList"":[""0500043739697"",""0500087956496""]},""loginInfo"":{""email"":""checkoutscen17@saks.com"",""password"":""test123""}}"
9,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen27,Full Checkout with regular item and validate Shipping Charge,"{""skuListInfo"":{""skuList"":[""0500019520949""]},""loginInfo"":{""email"":""levelw2@test.com"",""password"":""test123""}}"
10,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen33,Full Checkout: Validate Gift for regular item,"{""skuListInfo"":{""skuList"":[""0500048587869""]},""loginInfo"":{""email"":""checkoutscen33@saks.com"",""password"":""test123""}}"
11,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen34,Registered_VEGC,"{""skuListInfo"":{""skuList"":[""0500019520949""]},""loginInfo"":{""email"":""checkoutscen34@saks.com"",""password"":""test123""}}"
