ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11744.TC01,B-11744 Accounts: Sign Into My Account TC01 Display of Sign In section,
2,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11744.TC02,B-11744 Accounts: Sign Into My Account TC02 Valid credentials,"{""loginInfo"":{""email"":""autotest2@autotest.com"",""password"":""test123""}}"
3,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11744.TC03,B-11744 Accounts: Sign Into My Account TC03 Invalid credentials,"{""loginInfo"":{""email"":""autotest2@autotest.com"",""password"":""test1234""}}"
4,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11744.TC04,"B-11744 Accounts: Sign Into My Account TC04  Required field, error message on field exit","{""loginInfo"":{""email"":"""",""password"":""""}}"
5,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11744.TC05,"B-11744 Accounts: Sign Into My Account TC05 Required field, error message on pressing Sign In","{""loginInfo"":{""email"":"""",""password"":""""}}"
6,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11748.TC01,B-11748 Accounts: Clicking Create Account and opening Account creation page TC01 Display Create Account link,
7,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11748.TC02,B-11748 Accounts: Clicking Create Account and opening Account creation page TC02 Clicking on Create Account,
8,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11788.TC01,B-11788 Accounts: Forgot Password TC01 Pressing on Forgot Password link,
9,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11788.TC02,B-11788 Accounts: Forgot Password TC02 Typing password and pressing continue,
10,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11788.TC03,B-11788 Accounts: Forgot Password TC03 Pressing on back to sign in on forgot password page,
11,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11788.TC04,B-11788 Accounts: Forgot Password TC04 Pressing on Continue Shopping on Forgot Password confirmation page,
12,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11897.TC01,B-11897 Accounts: Display Create Account Page TC01 Display of Account Creation Page,
13,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11897.TC03,B-11897 Accounts: Display Create Account Page TC03 Pressing Cancel,
14,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11897.TC04,B-11897 Accounts: Display Create Account Page TC04 Terms and Conditions link,
15,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11897.TC05,B-11897 Accounts: Display Create Account Page TC05 Are you a Canadian customer section,
16,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11898.TC03,B-11898 Accounts: Validation on Create Account PageTC03 Error message on empty required field exit,
17,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11898.TC04,B-11898 Accounts: Validation on Create Account PageTC04 Error message on submission of empty required field,
18,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11953.TC01,B-11953 Accounts: Interaction with Email Preference Section on Create Account PageTC01 Are you a Canadian customer section - clicking yes,
19,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11953.TC02,B-11953 Accounts: Interaction with Email Preference Section on Create Account PageTC02 Are you a Canadian customer section - default no,
20,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12084.TC01,B-12084 Accounts: Your Profile section in Account SummaryTC01 Display of fields_registered user,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
21,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12085.TC01,B-12085 Accounts: display of More! Number in Account SummaryTC01 Registered account and display more number,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
22,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12086.TC01,B-12086 Accounts: Order History section in Account Summary (without any orders)TC01 Register account  and empty order history copy,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
23,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12086.TC02,B-12086 Accounts: Order History section in Account Summary (without any orders) TC02 Start Shopping link,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
24,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12086.TC04,B-12086 Accounts: Order History section in Account Summary (without any orders) TC04 Register account  has orders and view my Account Summary,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
25,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12387.TC01,B-12387 Accounts: Order History in Account Summary (Billing Details) TC01  Payment Method column_ credit card,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
26,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12387.TC05,B-12387 Accounts: Order History in Account Summary (Billing Details) TC05 Billing Address column,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
27,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12387.TC06,B-12387 Accounts: Order History in Account Summary (Billing Details) TC06 Summary column,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
28,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12388.TC02,B-12388 Accounts: Order History in Account Summary (Display and interaction with accordion) TC02 Collapsing an order view,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
29,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12388.TC04,B-12388 Accounts: Order History in Account Summary (Display and interaction with accordion) TC04 Displaying View All Orders button  with more than 5 orders,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
30,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12388.TC05,B-12388 Accounts: Order History in Account Summary (Display and interaction with accordion) TC05 Clicking the View All Orders button,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
31,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12392.TC01,B-12392 Accounts: Order History in Account Summary (preview line in opened order)_Copy_1 TC01 Order preview opened in line,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
32,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12392.TC02,B-12392 Accounts: Order History in Account Summary (preview line in opened order)_Copy_1 TC01 Order preview opened in line,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
33,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12392.TC03,B-12392 Accounts: Order History in Account Summary (preview line in opened order)_Copy_1 TC03 Order preview opened in line_one order,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
34,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12393.TC01,B-12393 Accounts: Order History in Account Summary (Item Column)TC01 Order details in Account Summary regular item,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
35,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12396.TC01,B-12396 Accounts: Order History in Accounts Summary (Status Column) TC01 Display fields,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
36,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12401.TC01,B-12401 Accounts: Order History in Accounts Summary (Customer Service copy) TC01 Customer service copy on the bottom of the order details multiple orders,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
37,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12859.TC01,B-12859 Accounts: Edit your password in Password Settings TC01 Change Password and submit,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
38,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12859.TC03,B-12859 Accounts: Edit your password in Password Settings TC03 Exiting the Change Password overlay,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
39,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12861.TC01,B-12861 Accounts: Editing profile TC01  Pressing Edit to edit profile information,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
40,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12861.TC03,B-12861 Accounts: Editing profile TC03  Exiting Edit Profile overlay press X,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
41,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12861.TC04,B-12861 Accounts: Editing profile TC04  Exiting Edit Profile overlay press Cancel,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
42,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12887.TC01,B-12887 Accounts: Your Profile section in Account Summary (Get) TC01 Display the Your Profile section - returning user,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
43,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12894.TC01,B-12894 Accounts: Order History in Order History page (Display and interaction with accordion) TC01 Default load,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
44,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12894.TC02,B-12894 Accounts: Order History in Order History page (Display and interaction with accordion) TC02 Display View More Orders button on default load,"{""loginInfo"":{""email"":""accountscen09@gmail.com"",""password"":""test123""}}"
45,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12894.TC03,B-12894 Accounts: Order History in Order History page (Display and interaction with accordion) TC03 Do not display View More Orders button when there is 10 or less orders on default load,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
46,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12894.TC04,B-12894 Accounts: Order History in Order History page (Display and interaction with accordion) TC04 Opening an order TC05 Collapsing an order view,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
47,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12894.TC06,B-12894 Accounts: Order History in Order History page (Display and interaction with accordion) TC06 Clicking the View More Orders button,"{""loginInfo"":{""email"":""accountscen09@gmail.com"",""password"":""test123""}}"
48,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12988.TC01,B-12988 Accounts: Order History Page (No orders) TC01 Copy and button - registered account_no orders TC03 Copy and button - registered account_no orders,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
49,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12988.TC02,B-12988 Accounts: Order History Page (No orders) TC02 Clicking on Start Shopping link,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
50,1,com.hbcd.testscript.commonplatform_mobile.accounts.B12992.TC01,B-12992 Accounts: single order on Order History page TC01 Single order,"{""loginInfo"":{""email"":""accountscen06@gmail.com"",""password"":""test123""}}"
51,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13019.TC01,B-13019 Accounts: Payment Page (Get) TC01 Display of credit cards - returning user - one payment method,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
52,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13019.TC03,B-13019 Accounts: Payment Page (Get) TC03 Display of credit cards - returning user - more than one payment method,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
53,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13044.TC02,B-13044 Accounts: password settings field validation TC02 Serve side validation requirements,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
54,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13044.TC03,B-13044 Accounts: password settings field validation TC03 Error message on empty required field exit,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
55,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13044.TC04,B-13044 Accounts: password settings field validation TC04 Error message on submission of empty required field,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
56,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13122.TC01,B-13122 TC01 Desktop_sections navigation bar TC01 Desktop_sections navigation bar,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
57,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13266.TC02,B-13266 Accounts: Forgot Password field validation TC02 Error message on empty email field exit,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
58,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13266.TC03,B-13266 Accounts: Forgot Password field validation TC03 Error message on submission of empty field,"{""loginInfo"":{""email"":""accountscen08@gmail.com"",""password"":""test123""}}"
59,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13285.TC01,B-13285 Accounts: Check Order Status field validation TC01 No match on order number and billing zip code,
60,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13285.TC02,B-13285 Accounts: Check Order Status field validation TC02 Format requirements,
61,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13285.TC03,B-13285 Accounts: Check Order Status field validation TC03 Error message on empty required field exit,
62,1,com.hbcd.testscript.commonplatform_mobile.accounts.B13285.TC04,B-13285 Accounts: Check Order Status field validation TC04  Error message on submission of empty required field,
63,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11743.TC01,"B-11743 Accounts: Check Order Status (as a guest) TC01 As a guest, check the order status with one item",
64,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11752.TC01,B-11752 Accounts: Payment (Edit) TC01 Displaying the boxes with the edit button,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
65,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11752.TC02,B-11752 Accounts: Payment (Edit) TC02 Edit payment overlay,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
66,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11752.TC03,B-11752 Accounts: Payment (Edit) TC03 Default Payment Method,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
67,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11752.TC04,B-11752 Accounts: Payment (Edit) TC04 Closing overlay,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
68,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11753.TC01,B-11753 Accounts: Shipping Address Book (Edit) TC01 Edit Shipping Address and Submit,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
69,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11753.TC03,B-11753 Accounts: Shipping Address Book (Edit) TC03 Default shipping address,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
70,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11753.TC06,B-11753 Accounts: Shipping Address Book (Edit) TC06 Closing overlay,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
71,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11753.TC07,B-11753 Accounts: Shipping Address Book (Edit) TC07 Pressing submit,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
72,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11758.TC01,B-11758 Accounts: Editing Email Preferences (Account Settings) TC01 Pressing Edit,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
73,1,com.hbcd.testscript.commonplatform_mobile.accounts.B11758.TC03,B-11758 Accounts: Editing Email Preferences (Account Settings) TC03 Exiting the email preference overlay,"{""loginInfo"":{""email"":""accountscen07@gmail.com"",""password"":""test123""}}"
