ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen02,Full Checkout with regular item and validate the order number and validate “Thank you” Page,"{""skuListInfo"":{""skuList"":[""0448863543546"",""0400087536316""]},""loginInfo"":{""email"":""checkoutscen02@saks.com"",""password"":""test123""}}"
2,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen04,"Full Checkout with modifying regular items (2 items):  remove items, update quantity of an existing items, and validated the updated quantities got reflected in the “Thank You” page","{""skuListInfo"":{""skuList"":[""0400087536316"",""0438387040881"",""0438369560316"",""0424168279717""]},""loginInfo"":{""email"":""checkoutscen04@saks.com"",""password"":""test123""}}"
3,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen05,Full checkout by validating apply gift card by adding Regular items,"{""skuListInfo"":{""skuList"":[""0400087536316"",""0424168279717""]},""loginInfo"":{""email"":""checkoutscen05@saks.com"",""password"":""test123""}}"
4,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen07,Full Checkout with Regular Items: Ship to Multiple address and remove address added from My Account,"{""skuListInfo"":{""skuList"":[""0400087536316"",""0424168279717""]},""loginInfo"":{""email"":""checkoutscen07@saks.com"",""password"":""test123""},""addressInfo"":{""address1"":[""abd blvd""],""city"":[""NEW YORK""],""state"":[""New York""],""country"":[""""],""zipCode"":[""10017""]}}"
5,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen08,Full Checkout with Regular Items: Add Shipping Address and Remove address added from My Account,"{""skuListInfo"":{""skuList"":[""0400087536316"",""0438387040881""]},""loginInfo"":{""email"":""checkoutscen08@saks.com"",""password"":""test123""},""addressInfo"":{""address1"":[""13 E 49th St""],""city"":[""NEW YORK""],""state"":[""New York""],""country"":[""""],""zipCode"":[""10017""]}}"
6,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen09,Full Checkout with Regular Items: Add Billing Address and Remove address added from My Account,"{""skuListInfo"":{""skuList"":[""0400087536316"",""0438387040881""]},""loginInfo"":{""email"":""checkoutscen09@saks.com"",""password"":""test123""},""addressInfo"":{""address1"":[""13 E 49th St""],""city"":[""NEW YORK""],""state"":[""New York""],""country"":[""United States""],""zipCode"":[""10017""]}}"
7,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen12,Full checkout with regular item by changing the Shipping Method to Rush Shipping,"{""skuListInfo"":{""skuList"":[""0400087536316""]},""loginInfo"":{""email"":""checkoutscen12@saks.com"",""password"":""test123""}}"
8,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen14,Registered_Multiple DropShip Items,"{""skuListInfo"":{""skuList"":[""0457027128352"",""0457095647182""]},""loginInfo"":{""email"":""checkoutscen14@saks.com"",""password"":""test123""}}"
9,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen15,Full checkout with Electronic Gift Card Item,"{""skuListInfo"":{""skuList"":[""0499932227409"",""0499928820294""]},""loginInfo"":{""email"":""checkoutscen15@saks.com"",""password"":""test123""}}"
10,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen17,Full Checkout with Required on Signature on Delivery with Two Regular Items,"{""skuListInfo"":{""skuList"":[""0448863543546"",""0400087536316""]},""loginInfo"":{""email"":""checkoutscen17@saks.com"",""password"":""test123""}}"
11,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen27,Full Checkout with regular item and validate Shipping Charge,"{""skuListInfo"":{""skuList"":[""0400087536316""]},""loginInfo"":{""email"":""levelw2@test.com"",""password"":""test123""}}"
12,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen33,Full Checkout: Validate Gift for regular item,"{""skuListInfo"":{""skuList"":[""0400087536316""]},""loginInfo"":{""email"":""checkoutscen33@saks.com"",""password"":""test123""}}"
13,1,com.hbcd.testscript.commonplatform.checkout.reg.Scen34,Registered_VEGC,"{""skuListInfo"":{""skuList"":[""0499928820294""]},""loginInfo"":{""email"":""checkoutscen34@saks.com"",""password"":""test123""}}"
