ID,SetToRun,ScriptClassName,Description,DataReferenceID
1,1,com.hbcd.testscript.s5a.masterpass.ScenWAT13_01,Validate international guest customer can't checkout with MasterPass,"{""skuListInfo"":{""skuList"":[""0400087571917""]}}"
2,1,com.hbcd.testscript.s5a.masterpass.ScenWAT14_01,Validate registered user can't checkout with MasterPass,"{""skuListInfo"":{""skuList"":[""0400087571917""]},""loginInfo"":{""email"":""saks.first@gmail.com"",""password"":""saks_second1""}}"
3,1,com.hbcd.testscript.s5a.masterpass.ScenWAT14_02,"Validate when the user is not signed in to saks.com account, the user will see the 'Checkout with MasterPass' button on the bag page","{""skuListInfo"":{""skuList"":[""0400087571917""]},""loginInfo"":{""email"":""saks.first@gmail.com"",""password"":""saks_second1""}}"
4,1,com.hbcd.testscript.s5a.masterpass.ScenWAT24,"Validate as an international guest customer, I can't checkout with MasterPass
GIVEN The site context is not US
THEN MasterPass will not be enabled
AND I will not see the MasterPass button on the bag","{""skuListInfo"":{""skuList"":[""0400087571917""]}}"
5,1,com.hbcd.testscript.s5a.masterpass.ScenWAT49,"Validate ""masterpass"" is added as a payment_service property of the user's credit cards when that credit card is being accessed from a Masterpass Wallet","{""skuListInfo"":{""skuList"":[""0400087571917""]},""loginInfo"":{""email"":""checkoutscen06@saks.com"",""password"":""test123""},""addressInfo"":{""address1"":[""12 East 49th street""],""city"":[""NEW YORK""],""state"":[""New York""],""country"":[""United States""],""zipCode"":[""10017""]}}"
6,1,com.hbcd.testscript.s5a.masterpass.ScenWAT47,"When a customer selects MasterPass from the Payment Type pulldown menu, we need to prompt them to launch the MasterPass experience.","{""skuListInfo"":{""skuList"":[""0400087571917""]},""loginInfo"":{""email"":""saks_first@gmail.com"",""password"":""saks_second1""}}"
7,1,com.hbcd.testscript.s5a.masterpass.ScenWAT13_02,Validate as international user and check masterpass is not shown in dropdown ,"{""skuListInfo"":{""skuList"":[""0427906178532""]},""loginInfo"":{""email"":""saksn5@test.com"",""password"":""saks_second1""}}"
8,1,com.hbcd.testscript.s5a.masterpass.ScenWAT55_01,Validate as international guest user and check masterpass is not shown in dropdown ,"{""skuListInfo"":{""skuList"":[""0427906178532""]}, ""loginInfo"":{""email"":""off5th.fifth@gmail.com"",""password"":""o5_fifth""},""addressInfo"":{""address1"":[""12 East 49th street""],""city"":[""Vancouver""],""state"":[""British Columbia""],""country"":[""Canada""],""zipCode"":[""V6G2M9""]}}"
9,1,com.hbcd.testscript.s5a.masterpass.ScenWAT55_02,Validate as international registered user and check masterpass is not shown in dropdown ,"{""skuListInfo"":{""skuList"":[""0427906178532""]}, ""loginInfo"":{""email"":""saks_first@gmail.com"",""password"":""saks_second1""},""addressInfo"":{""address1"":[""12 East 49th street""],""city"":[""Vancouver""],""state"":[""British Columbia""],""country"":[""Canada""],""zipCode"":[""V6G2M9""]}}"
10,1,com.hbcd.testscript.s5a.masterpass.ScenWAT66,Validate masterpass is not shown in payment method ehrn toggle is OFF,"{""skuListInfo"":{""skuList"":[""0400087571917""]},""addressInfo"":{""address1"":[""1050 Mindy ln""],""city"":[""Piscataway""],""state"":[""New Jersey""],""zipCode"":[""08854""]}}"
